"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000146411",1030.22429994008,-0.850090583823762,0.171369094814634,-4.96058279786846,7.02819957005992e-07,2.02134226417997e-05
"ENSG00000114853",2770.85195738263,0.716892906326223,0.106310760659162,6.74337105558503,1.54753319268972e-11,1.23868159465662e-09
"ENSG00000131323",600.844116648105,-0.443220117591541,0.12584088751181,-3.52206763918399,0.000428194876823419,0.00528794456864056
"ENSG00000164292",15288.3343204177,0.965969519878916,0.218031071478956,4.43042137676305,9.40491328736201e-06,0.000202674541611414
"ENSG00000164754",2954.59569691975,0.447783678660914,0.135440555334538,3.30612701310097,0.000945951975873118,0.00999326919763166
"ENSG00000126970",185.912048235615,-0.448670355698357,0.150181321286421,-2.98752435958841,0.00281246880710179,0.024396231716649
"ENSG00000143013",1529.15570728444,-0.400681469357072,0.126786816760817,-3.1602770666051,0.0015761917431262,0.0151876653801887
"ENSG00000142279",681.414026375336,0.746427999452261,0.188728134947694,3.95504358509733,7.65207003596756e-05,0.0012610077941625
"ENSG00000108960",1740.19798309104,1.5106255593351,0.210183273387154,7.1871825716243,6.61419420766164e-13,6.62645893864274e-11
"ENSG00000121104",172.384796065789,-0.404087361302452,0.150325214313711,-2.68808771134807,0.00718625175631329,0.0498915174710911
"ENSG00000136783",285.695977112012,0.503306783974131,0.14565874240275,3.45538328610909,0.000549511044224932,0.00644773284335151
"ENSG00000109625",1227.50097291119,-0.669569015862575,0.203439481583647,-3.29124421007371,0.000997452816183119,0.0104425371648569
"ENSG00000126767",650.128137581413,0.402804287512902,0.120513152533784,3.34240934739453,0.000830544791084091,0.00894269152990757
"ENSG00000138185",883.697564675488,-0.441393713020732,0.109314187933347,-4.03784468755205,5.39445475705923e-05,0.000931590314666576
"ENSG00000139880",158.507099158583,-0.639882403790488,0.196480159559334,-3.25672783056375,0.00112704442789911,0.0115436209243451
"ENSG00000133639",1443.737917374,0.492791319837568,0.107443889591666,4.58649925752307,4.50740005168398e-06,0.000107721876748618
"ENSG00000008311",714.926322098101,1.06908816200269,0.177783090188307,6.01344121575522,1.81625811710192e-09,9.57364208903059e-08
"ENSG00000138356",4417.1290161387,1.26499554426163,0.246146137292174,5.13920534434423,2.75902763612018e-07,8.97603657617766e-06
"ENSG00000155511",2875.4400575058,0.765076310287799,0.239965430570165,3.18827719671935,0.00143123260656561,0.0140778198128248
"ENSG00000013583",1470.55058157668,0.385105493179934,0.127449889108799,3.0216228187628,0.00251423620016515,0.0224132971338234
"ENSG00000117620",495.206354975869,0.388832298163713,0.133799973378095,2.90607156598562,0.00365997729135017,0.0299245944581766
"ENSG00000069020",835.844602249333,-0.473487276491115,0.125759022452005,-3.76503623564519,0.000166524931208318,0.0024294241142485
"ENSG00000124766",1291.40790053461,-2.09803870140756,0.22583070026966,-9.29031659071302,1.53830076381626e-20,4.15560963482365e-18
"ENSG00000116016",22509.898342572,-0.631149979187532,0.18340856721649,-3.44122408656376,0.000579088732432024,0.00670271946766002
"ENSG00000100485",939.575766528231,0.521360824779811,0.151181106460359,3.44858452875866,0.000563533055861793,0.00656185431303663
"ENSG00000143493",317.12377506786,-0.480032274768424,0.169128854651907,-2.83826361714802,0.00453597030843892,0.0354144490869051
"ENSG00000108828",12520.6531965197,-0.562932908085853,0.161648812989381,-3.48244380936366,0.000496859482956237,0.00597020671815882
"ENSG00000106948",547.479212078056,-0.835468190143315,0.205069868355595,-4.07406605779157,4.6199368060809e-05,0.000810793549911739
"ENSG00000142864",5439.10755170963,0.378424665088615,0.104624784127589,3.61696961426586,0.000298072279303839,0.00391766936690572
"ENSG00000101347",14134.9917673153,3.35683850175509,0.248643030785969,13.5006337846832,1.55036652950733e-41,2.34539448583869e-38
"ENSG00000119139",5612.32457620331,1.78088599938084,0.229155685027408,7.77151131628191,7.75551489071837e-15,9.9428329887108e-13
"ENSG00000096968",708.610929724162,0.629878214642426,0.180046772351959,3.49841436430268,0.000468033364269773,0.0057054059102926
"ENSG00000154310",774.181546388555,-0.995689182079208,0.221952041308228,-4.48605552898015,7.25538397374989e-06,0.000163089819843816
"ENSG00000044090",1230.24037547482,-0.421544651333873,0.0956830390004859,-4.40563610580693,1.05473900069475e-05,0.000224733684542396
"ENSG00000132330",160.205117398884,0.606481338213453,0.142570765610562,4.25389690246934,2.10082055564509e-05,0.000417624354346898
"ENSG00000163823",10.4744776102417,-1.03824933627034,0.368142728049517,-2.82023589538536,0.00479883577219331,0.0369875494198436
"ENSG00000114767",205.762638337664,0.903558419163845,0.181980285220427,4.96514453787888,6.86499229389075e-07,1.98572855491356e-05
"ENSG00000067798",642.247592611594,1.13522455762745,0.292174002462015,3.88544000513884,0.000102144716733519,0.00162486359068841
"ENSG00000153879",384.429663016682,-0.58105575250928,0.15782912772968,-3.68154953947713,0.000231820732619564,0.00316092093595448
"ENSG00000157483",2336.56446645577,0.759167217669226,0.232796203527078,3.26108074859959,0.0011098842858775,0.0114064738293171
"ENSG00000085377",640.419377302493,0.531848529993267,0.100522114658749,5.29086093939408,1.21741907754809e-07,4.34365938800647e-06
"ENSG00000112078",2399.7208532114,0.528520757877255,0.140376465547227,3.76502397190964,0.000166533104605744,0.0024294241142485
"ENSG00000023608",396.626380719059,0.602530575142721,0.20779590784548,2.89962676065195,0.00373607244494776,0.0304030682878804
"ENSG00000130402",7227.13088029922,0.780421957562534,0.175531355285559,4.44605441741688,8.74618018632266e-06,0.00019175683167926
"ENSG00000133818",3012.51151784253,0.564541900454898,0.183122749668389,3.08286054833278,0.00205021204807642,0.0188902176473456
"ENSG00000105402",1977.6790310677,0.358436157182404,0.0978852143850708,3.66180080857107,0.000250448562255688,0.00336780964427026
"ENSG00000102100",357.465657182993,0.354970214608375,0.1149154977836,3.08896729731639,0.00200853546766043,0.0185728145200288
"ENSG00000115419",4336.31336479654,0.994766728071404,0.168471358603716,5.90466377380697,3.53366680291628e-09,1.80599024981478e-07
"ENSG00000148396",2669.36602820975,0.267135541118624,0.0731036874498877,3.65420063525174,0.00025798447633429,0.00345991946629888
"ENSG00000130921",350.482818364988,-0.379669263322328,0.115044787244697,-3.30018658311552,0.000966205678067162,0.0101505274290278
"ENSG00000065665",142.257736437135,-0.470683034094102,0.153336610201882,-3.06960636128844,0.0021434106988603,0.0195810560820899
"ENSG00000120690",1426.8218637027,0.821208568475202,0.125701800119629,6.53298972404264,6.44695688166044e-11,4.57885275613893e-09
"ENSG00000060138",4860.55982553886,0.449046423417808,0.123118406508949,3.64727286642692,0.000265038420872458,0.00354300366933393
"ENSG00000070961",1647.55584279961,0.484398751003045,0.174365751567565,2.77806132596713,0.00546842963114895,0.04066419147262
"ENSG00000125520",996.598129081306,-0.469568747830782,0.170364349869875,-2.75626178944973,0.00584661818950722,0.0427283284883407
"ENSG00000119900",907.364218762281,0.487038176044166,0.160377586181855,3.03682196271432,0.00239086624758413,0.0214829287083327
"ENSG00000148672",2951.37536370517,0.285528762747701,0.0763716632458603,3.73867414447306,0.000184993326112081,0.00264515977072171
"ENSG00000123179",355.656171615063,0.501775941823467,0.152678284226246,3.2864918830232,0.0010144369746323,0.0105983443040314
"ENSG00000143382",3656.86239442918,0.766710055997881,0.2617357107059,2.92932918450473,0.0033969446170308,0.0282201966866788
"ENSG00000161267",42.4134126261392,1.24775418572752,0.299803359886129,4.16190861303704,3.15598658660543e-05,0.000590013989895167
"ENSG00000110442",446.622206050659,-0.42107756857255,0.123539615886372,-3.40844162053931,0.000653350634983237,0.00739258669111923
"ENSG00000131016",40175.507735297,-0.805619387848551,0.279696347774133,-2.88033574360121,0.00397251887058781,0.0319491044520215
"ENSG00000160460",190.321023811135,-1.1190508720266,0.265932066478374,-4.20803285156889,2.57603422792637e-05,0.000498978819463126
"ENSG00000080845",2199.97713205505,-0.21347077266235,0.0747195610907723,-2.85695967088213,0.00427720179492609,0.0338595022258722
"ENSG00000104936",2004.51758656222,0.826767717898829,0.164763351101999,5.01791030814254,5.22365525650199e-07,1.56815861939208e-05
"ENSG00000109906",439.541520915421,4.41713611889607,0.314084615546606,14.0635226950192,6.36379214369925e-45,1.37530639356975e-41
"ENSG00000111684",957.276086712647,0.472006142063537,0.132930440611636,3.55077542729683,0.000384098006548907,0.00484219553589322
"ENSG00000120832",328.29970816582,0.614081377087969,0.213796532451709,2.87227005062242,0.00407534547271935,0.0326200139213219
"ENSG00000121858",242.63386047969,-0.767348103734047,0.281964792572482,-2.72143233463019,0.00649996906316061,0.0462041109509562
"ENSG00000089041",153.445527748107,-1.37638865535375,0.272795294693354,-5.04549998525795,4.52336929306252e-07,1.39084411921646e-05
"ENSG00000096384",10448.0439393761,-0.351502663948324,0.0603336853245931,-5.82597701528179,5.6779430804753e-09,2.76192678203956e-07
"ENSG00000130584",212.196160443691,-0.786581010654352,0.205454197010745,-3.8284981377782,0.000128927606423624,0.00197011801007736
"ENSG00000109265",83.2191062509647,-1.08450532040134,0.338004207775226,-3.20855567905397,0.00133403476082418,0.013268427259532
"ENSG00000156471",2282.94199634506,-0.438882785700533,0.149412435872241,-2.93739127629115,0.00330986207305395,0.0276180879432764
"ENSG00000083223",1508.80625959994,1.06414722777357,0.187056825841383,5.68889813556403,1.2786170822145e-08,5.79129317956315e-07
"ENSG00000122299",1477.79900026461,0.489349808946582,0.120039856188939,4.07656110630758,4.57066480752113e-05,0.000803078016355164
"ENSG00000112773",525.998125166656,-1.16795652077571,0.152142700215626,-7.67671744434938,1.63216894076841e-14,2.02388948655283e-12
"ENSG00000107611",47.6907362253138,-1.20870736324114,0.324257048064387,-3.72762094287965,0.000193295808973181,0.00273543404878043
"ENSG00000080824",15088.2305823308,-0.373933731771189,0.135105915978711,-2.76770805380654,0.00564520002297477,0.0416182192726912
"ENSG00000105996",60.2791596306787,-0.691242217268091,0.234325683783377,-2.94992083713329,0.00317855360220379,0.0268212210549131
"ENSG00000155008",609.972719562892,0.667634334575373,0.171964226090702,3.88240246098182,0.000103429508447239,0.00164012746728494
"ENSG00000150907",688.476650962791,2.0263870197986,0.242856522654176,8.34396786074444,7.1838521870214e-17,1.20752573205844e-14
"ENSG00000137393",166.280273311696,1.48835624954286,0.315969003274662,4.71045018377664,2.47170211857451e-06,6.27463184676894e-05
"ENSG00000081052",209.421196170264,1.5096061531374,0.321225290604732,4.69952459314597,2.6076781961244e-06,6.55298268288536e-05
"ENSG00000132530",554.070436661569,-0.909783283117783,0.136229854959321,-6.67829590943518,2.4173656684971e-11,1.86581162413388e-09
"ENSG00000053747",1279.31503515979,1.09882725768214,0.245214538516782,4.48108527466831,7.42644290111763e-06,0.000166687282207875
"ENSG00000067955",592.058927846011,0.319761474617538,0.11319131435442,2.82496476378315,0.00472858157575706,0.0365715654795771
"ENSG00000113389",4582.99922435217,0.834636461749815,0.26899765467154,3.10276482807611,0.00191721925714104,0.0178704207775907
"ENSG00000143067",221.324922225369,-0.636067620972658,0.21909436377888,-2.90316742978659,0.00369409086373873,0.0301116013938569
"ENSG00000106617",1034.82969084477,1.35961559641878,0.253097395572037,5.37190670550305,7.79084165016981e-08,2.91732308128141e-06
"ENSG00000123612",22.5965523893058,-1.14285539875734,0.336373137670746,-3.39758224057716,0.000679841502008791,0.00763522066992502
"ENSG00000133812",4028.08090244914,0.736195380338787,0.255535777615282,2.88098749697255,0.00396431366060078,0.0319120454284312
"ENSG00000082146",1109.00297731267,0.870315453835699,0.17119676910248,5.0837142453005,3.70124650458324e-07,1.15686894878792e-05
"ENSG00000100784",180.190558477259,-1.56892543146289,0.255075205053309,-6.15083473572038,7.70762010062023e-10,4.45041514817492e-08
"ENSG00000131797",94.5803639833529,-0.53933179412004,0.200223901725872,-2.69364341355431,0.00706757327015577,0.0492483871169583
"ENSG00000106976",989.046833637733,-1.78038708864701,0.142136936150222,-12.5258580694701,5.39051836462932e-36,5.09673511375702e-33
"ENSG00000100116",123.036378124383,0.614086131468587,0.162837864043216,3.77115073988943,0.000162496472233863,0.00238202193018786
"ENSG00000092847",1013.08583834465,-0.403149063522952,0.105553278323029,-3.81938931625769,0.000133782472654192,0.00203198920312512
"ENSG00000121621",33.3582997266838,-1.05626976110549,0.286000435031151,-3.69324529520537,0.000221410264152457,0.00304499497827124
"ENSG00000092853",42.2073826626321,-1.05268593013773,0.324844453324374,-3.24058459168631,0.00119284874134161,0.0121191509462833
"ENSG00000110906",2898.3850727769,0.428939195818282,0.124623977326107,3.44186732779249,0.000577713517239916,0.00669192196692608
"ENSG00000162961",391.813299237181,0.403300039977967,0.144282522254808,2.79521063033348,0.00518659107795899,0.0391607078913684
"ENSG00000079134",352.25562352787,-0.36543015118503,0.127784050291122,-2.85974775687964,0.00423978092343988,0.0336251291700698
"ENSG00000121210",445.587234703378,-0.592507264727615,0.174644280059677,-3.39265199252533,0.000692195179260632,0.00773377302204937
"ENSG00000092841",12461.7673228204,0.584275860013274,0.165909735908628,3.52164902688445,0.000428871534936673,0.00529198089765252
"ENSG00000106484",941.131965022028,-1.54527807850203,0.307290700978839,-5.02871734673301,4.93771612455341e-07,1.50297323002503e-05
